"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"04109","43.66732","-70.19984","Portland","ME","Maine","TRUE","","130","40.4","23005","Cumberland","{""23005"": 100}","Cumberland","23005","FALSE","FALSE","America/New_York"
"04110","43.75834","-70.19905","Cumberland Foreside","ME","Maine","TRUE","","1777","294.3","23005","Cumberland","{""23005"": 100}","Cumberland","23005","FALSE","FALSE","America/New_York"
"04210","44.08505","-70.24923","Auburn","ME","Maine","TRUE","","23790","154.8","23001","Androscoggin","{""23001"": 100}","Androscoggin","23001","FALSE","FALSE","America/New_York"
"04216","44.70046","-70.8142","Andover","ME","Maine","TRUE","","657","1.8","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04217","44.36726","-70.83364","Bethel","ME","Maine","TRUE","","3280","6.9","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04219","44.40924","-70.59285","Bryant Pond","ME","Maine","TRUE","","1298","8.2","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04220","44.33511","-70.35286","Buckfield","ME","Maine","TRUE","","3486","16.2","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04221","44.47242","-70.29857","Canton","ME","Maine","TRUE","","1059","14.0","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04222","43.9644","-70.12954","Durham","ME","Maine","TRUE","","4170","42.1","23001","Androscoggin","{""23001"": 100}","Androscoggin","23001","FALSE","FALSE","America/New_York"
"04224","44.58001","-70.40058","Dixfield","ME","Maine","TRUE","","2675","13.8","23017","Oxford","{""23017"": 55.17, ""23007"": 44.83}","Oxford|Franklin","23017|23007","FALSE","FALSE","America/New_York"
"04226","44.62555","-70.70823","East Andover","ME","Maine","TRUE","","80","6.3","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04227","44.56866","-70.29471","East Dixfield","ME","Maine","TRUE","","32","85.0","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04231","44.26438","-70.88777","Stoneham","ME","Maine","TRUE","","257","2.9","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04234","44.61624","-70.19359","East Wilton","ME","Maine","TRUE","","0","0.0","23007","Franklin","{""23007"": 100}","Franklin","23007","FALSE","FALSE","America/New_York"
"04236","44.19036","-70.14461","Greene","ME","Maine","TRUE","","4403","52.7","23001","Androscoggin","{""23001"": 100}","Androscoggin","23001","FALSE","FALSE","America/New_York"
"04237","44.49665","-70.7256","Hanover","ME","Maine","TRUE","","219","12.0","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04238","44.20785","-70.37937","Hebron","ME","Maine","TRUE","","1324","24.9","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04239","44.53062","-70.20935","Jay","ME","Maine","TRUE","","4661","37.2","23007","Franklin","{""23007"": 100}","Franklin","23007","FALSE","FALSE","America/New_York"
"04240","44.09147","-70.16808","Lewiston","ME","Maine","TRUE","","36615","414.0","23001","Androscoggin","{""23001"": 100}","Androscoggin","23001","FALSE","FALSE","America/New_York"
"04250","44.02582","-70.11706","Lisbon","ME","Maine","TRUE","","4532","149.3","23001","Androscoggin","{""23001"": 100}","Androscoggin","23001","FALSE","FALSE","America/New_York"
"04252","44.02719","-70.06011","Lisbon Falls","ME","Maine","TRUE","","5056","175.8","23001","Androscoggin","{""23001"": 100}","Androscoggin","23001","FALSE","FALSE","America/New_York"
"04253","44.4079","-70.21503","Livermore","ME","Maine","TRUE","","1873","19.2","23001","Androscoggin","{""23001"": 100}","Androscoggin","23001","FALSE","FALSE","America/New_York"
"04254","44.43249","-70.14265","Livermore Falls","ME","Maine","TRUE","","3089","60.6","23001","Androscoggin","{""23001"": 100}","Androscoggin","23001","FALSE","FALSE","America/New_York"
"04255","44.33505","-70.66863","Greenwood","ME","Maine","TRUE","","618","6.3","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04256","44.10294","-70.40733","Mechanic Falls","ME","Maine","TRUE","","3109","109.2","23001","Androscoggin","{""23001"": 100}","Androscoggin","23001","FALSE","FALSE","America/New_York"
"04257","44.57347","-70.51358","Mexico","ME","Maine","TRUE","","2739","45.3","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04258","44.14829","-70.33794","Minot","ME","Maine","TRUE","","2766","36.1","23001","Androscoggin","{""23001"": 100}","Androscoggin","23001","FALSE","FALSE","America/New_York"
"04259","44.22762","-70.00868","Monmouth","ME","Maine","TRUE","","3279","43.6","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
"04260","43.96409","-70.29589","New Gloucester","ME","Maine","TRUE","","5668","46.4","23005","Cumberland","{""23005"": 100}","Cumberland","23005","FALSE","FALSE","America/New_York"
"04261","44.5631","-70.91907","Newry","ME","Maine","TRUE","","282","0.5","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04263","44.29476","-70.13061","Leeds","ME","Maine","TRUE","","2427","23.4","23001","Androscoggin","{""23001"": 100}","Androscoggin","23001","FALSE","FALSE","America/New_York"
"04265","44.27542","-70.04276","North Monmouth","ME","Maine","TRUE","","790","52.0","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
"04267","44.22478","-70.77084","North Waterford","ME","Maine","TRUE","","27","23.1","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04268","44.22842","-70.60651","Norway","ME","Maine","TRUE","","5075","43.5","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04270","44.11241","-70.51559","Oxford","ME","Maine","TRUE","","6248","30.7","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04271","44.26099","-70.49871","Paris","ME","Maine","TRUE","","0","0.0","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04274","44.04634","-70.38999","Poland","ME","Maine","TRUE","","5880","53.8","23001","Androscoggin","{""23001"": 100}","Androscoggin","23001","FALSE","FALSE","America/New_York"
"04275","44.68966","-70.63729","Roxbury","ME","Maine","TRUE","","584","2.4","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04276","44.53469","-70.61541","Rumford","ME","Maine","TRUE","","5846","32.9","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04280","44.1215","-70.06152","Sabattus","ME","Maine","TRUE","","6804","63.0","23001","Androscoggin","{""23001"": 100}","Androscoggin","23001","FALSE","FALSE","America/New_York"
"04281","44.2445","-70.48832","South Paris","ME","Maine","TRUE","","5180","49.1","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04282","44.26709","-70.24291","Turner","ME","Maine","TRUE","","5864","38.2","23001","Androscoggin","{""23001"": 100}","Androscoggin","23001","FALSE","FALSE","America/New_York"
"04284","44.34757","-70.0651","Wayne","ME","Maine","TRUE","","1006","21.1","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
"04285","44.70625","-70.4523","Weld","ME","Maine","TRUE","","393","2.6","23007","Franklin","{""23007"": 100}","Franklin","23007","FALSE","FALSE","America/New_York"
